callsign,channel,city,stateabbr,latitude,longitude,dma_id,dma_name,dma_rank,classification,avg_aqh,male_aqh,female_aqh,18to34_aqh,35to49_aqh,50plus_aqh,mon_fri_aqh,weekend_aqh
WADO-AM,1280,New York,NY,40.714353,-74.005973,501,"New York, NY",1,Spanish News-Talk,1657,514,1143,57,457,1143,1200,2800
WQBU-FM,92.7,Garden City,NY,40.726768,-73.634295,501,"New York, NY",1,Tropical,1714,1286,429,214,1429,71,2400,0
WEPN-AM,1050,New York,NY,40.714353,-74.005973,501,"New York, NY",1,Spanish Sports,0,0,0,0,0,0,0,0
WLIM-AM,1580,Patchogue,NY,40.765654,-73.015108,501,"New York, NY",1,Spanish Religious,0,0,0,0,0,0,0,0
WBON-FM,98.5,Westhampton,NY,40.824544,-72.666207,501,"New York, NY",1,Tropical,1400,657,743,157,514,729,800,2900
WTOC-AM,1360,Newton,NJ,41.058153,-74.752665,501,"New York, NY",1,Spanish Religious,0,0,0,0,0,0,0,0
WXNY-FM,96.3,New York,NY,40.714353,-74.005973,501,"New York, NY",1,Spanish CHR,429,143,286,71,143,214,600,0
WVOS-AM,1240,Liberty,NY,41.8012,-74.74655,501,"New York, NY",1,Spanish Sports,0,0,0,0,0,0,0,0
WXMC-AM,1310,Parsippany,NJ,40.857481,-74.427019,501,"New York, NY",1,Spanish Religious,0,0,0,0,0,0,0,0
WUPC-LP,102.3,Arrowhead Village,NJ,40.076505,-74.10375,501,"New York, NY",1,Spanish Religious,0,0,0,0,0,0,0,0
WIQR-AM,1410,Prattville,AL,32.464025,-86.459697,698,"Montgomery-Selma, AL",120,Spanish,0,0,0,0,0,0,0,0
WEST-AM,1400,Easton,PA,40.688432,-75.220732,504,"Philadelphia, PA",4,Tropical,657,343,314,29,86,543,0,2300
WHAT-AM,1340,Philadelphia,PA,39.952335,-75.163789,504,"Philadelphia, PA",4,Spanish CHR,2571,1043,1529,457,1000,1114,2400,3000
WHOL-AM,1600,Allentown,PA,40.608431,-75.490183,504,"Philadelphia, PA",4,Tropical,2357,643,1714,357,571,1429,3300,0
WIBG-AM,1020,Ocean City,NJ,39.277616,-74.5746,504,"Philadelphia, PA",4,Spanish Adult Hits,0,0,0,0,0,0,0,0
WRJE-AM,1600,Dover,DE,39.158168,-75.524368,504,"Philadelphia, PA",4,Regional Mexican,0,0,0,0,0,0,0,0
WMIZ-AM,1270,Vineland,NJ,39.486377,-75.025964,504,"Philadelphia, PA",4,Spanish Hits,0,0,0,0,0,0,0,0
WMVB-AM,1440,Millville,NJ,39.40206,-75.039344,504,"Philadelphia, PA",4,Regional Mexican,0,0,0,0,0,0,0,0
WEMG-AM,1310,Camden,NJ,39.925946,-75.11962,504,"Philadelphia, PA",4,Tropical,1957,1029,929,886,643,429,2300,1100
WSDS-AM,1480,Salem,MI,42.406147,-83.579938,505,"Detroit, MI",11,Regional Mexican,0,0,0,0,0,0,0,0
WAMG-AM,890,Dedham,MA,42.241192,-71.166143,506,"Boston (Manchester), MA-NH",7,Tropical,1086,414,671,71,671,343,1000,1300
WNNW-AM,800,Lawrence,MA,42.707035,-71.163114,506,"Boston (Manchester), MA-NH",7,Tropical,3271,2529,743,357,1343,1571,4500,200
WCEC-AM,1490,Haverhill,MA,42.776202,-71.07728,506,"Boston (Manchester), MA-NH",7,Spanish Talk,514,200,314,57,86,371,0,1800
WLLH-AM,1400,Lowell,MA,42.633425,-71.316172,506,"Boston (Manchester), MA-NH",7,Tropical,1343,800,543,414,757,171,400,3700
WWDJ-AM,1150,Boston,MA,42.358431,-71.059773,506,"Boston (Manchester), MA-NH",7,Spanish Religious,0,0,0,0,0,0,0,0
WORC-AM,1310,Worcester,MA,42.262593,-71.802293,506,"Boston (Manchester), MA-NH",7,Tropical,1357,629,729,0,214,1143,100,4500
WUNR-AM,1600,Brookline,MA,42.331764,-71.121163,506,"Boston (Manchester), MA-NH",7,Spanish,4814,2029,2786,171,400,4243,100,16600
WKOX-AM,1430,Everett,MA,42.40843,-71.053662,506,"Boston (Manchester), MA-NH",7,Spanish Hits,886,271,614,286,343,257,1000,600
WNFO-AM,1430,Sun City-Hilton Head,SC,32.287299,-80.970529,507,"Savannah, GA",92,Spanish,0,0,0,0,0,0,0,0
WGBJ-FM,102.3,Auburn,IN,41.366994,-85.058857,509,"Ft. Wayne, IN",109,Regional Mexican,829,286,543,29,343,457,400,1900
WBZQ-AM,1300,Huntington,IN,40.883101,-85.497476,509,"Ft. Wayne, IN",109,Regional Mexican,0,0,0,0,0,0,0,0
WNRL-LP,105.9,Ligonier,IN,41.465882,-85.587485,509,"Ft. Wayne, IN",109,Spanish Contemporary Christian,0,0,0,0,0,0,0,0
WRUM-FM,100.3,Orlando,FL,28.538336,-81.379236,534,"Orlando-Daytona Beach-Melbourne, FL",18,Tropical,657,257,400,0,214,443,600,800
WNUE-FM,98.1,Deltona,FL,28.900545,-81.263674,534,"Orlando-Daytona Beach-Melbourne, FL",18,Tropical,8571,4529,4043,3714,2200,2657,1000,27500
WHKQ-FM,103.1,Windermere,FL,28.495559,-81.534795,534,"Orlando-Daytona Beach-Melbourne, FL",18,Spanish Hits,629,143,486,143,357,129,800,200
WJRN-LP,95.9,Summerfield,FL,29.008592,-82.034809,534,"Orlando-Daytona Beach-Melbourne, FL",18,Spanish Religious,0,0,0,0,0,0,0,0
WBQH-AM,1050,Silver Spring,MD,38.990666,-77.026088,511,"Washington (Hagerstown), DC-MD",8,Regional Mexican,1714,929,786,71,786,857,2400,0
WKDV-AM,1460,Manassas,VA,38.750949,-77.475267,511,"Washington (Hagerstown), DC-MD",8,Regional Mexican,57,29,29,0,29,29,0,200
WDMV-AM,700,Walkersville,MD,39.486213,-77.351928,511,"Washington (Hagerstown), DC-MD",8,Spanish,143,0,143,143,0,0,200,0
WURA-AM,920,Quantico,VA,38.522923,-77.290079,511,"Washington (Hagerstown), DC-MD",8,Tejano,0,0,0,0,0,0,0,0
WDCN-LP,87.7,Fairfax,VA,38.846224,-77.306373,511,"Washington (Hagerstown), DC-MD",8,Spanish Hits,0,0,0,0,0,0,0,0
WLZL-FM,107.9,Annapolis,MD,38.978445,-76.492183,512,"Baltimore, MD",27,Tropical,1000,714,286,571,214,214,1400,0
KNNS-AM,1510,Larned,KS,38.180569,-99.098713,627,"Wichita-Hutchinson Plus, KS",67,Regional Mexican,0,0,0,0,0,0,0,0
KLIO-AM,1070,Wichita,KS,37.688889,-97.336111,627,"Wichita-Hutchinson Plus, KS",67,Spanish Sports,0,0,0,0,0,0,0,0
KSMM-FM,101.5,Liberal,KS,37.043081,-100.920999,627,"Wichita-Hutchinson Plus, KS",67,Regional Mexican,0,0,0,0,0,0,0,0
KYQQ-FM,106.5,Arkansas City,KS,37.061974,-97.038371,627,"Wichita-Hutchinson Plus, KS",67,Regional Mexican,1000,643,357,429,429,143,1400,0
KSSA-FM,105.9,Ingalls,KS,37.8278,-100.454593,627,"Wichita-Hutchinson Plus, KS",67,Regional Mexican,0,0,0,0,0,0,0,0
KONQ-FM,91.9,Dodge City,KS,37.752798,-100.017079,627,"Wichita-Hutchinson Plus, KS",67,Spanish,0,0,0,0,0,0,0,0
KMML-FM,92.9,Cimarron,KS,37.806688,-100.3482,627,"Wichita-Hutchinson Plus, KS",67,Regional Mexican,0,0,0,0,0,0,0,0
KQBE-FM,88.1,Beloit,KS,39.456118,-98.106159,627,"Wichita-Hutchinson Plus, KS",67,Spanish Religious,0,0,0,0,0,0,0,0
WBBF-AM,1120,Buffalo,NY,42.886447,-78.878369,514,"Buffalo, NY",52,Spanish Contemporary Christian,1314,771,543,257,257,800,0,4600
WOXY-FM,97.7,Mason,OH,39.360059,-84.309939,515,"Cincinnati, OH",35,Regional Mexican,214,143,71,214,0,0,300,0
WCXN-AM,1170,Claremont,NC,35.714578,-81.146192,517,"Charlotte, NC",25,Regional Mexican,0,0,0,0,0,0,0,0
WOLS-FM,106.1,Waxhaw,NC,34.924594,-80.743402,517,"Charlotte, NC",25,Regional Mexican,1386,1000,386,714,600,71,1900,100
WNOW-AM,1030,Mint Hill,NC,35.17354,-80.65703,517,"Charlotte, NC",25,Spanish Contemporary Christian,2914,1457,1457,1771,914,229,0,10200
WIST-FM,98.3,Thomasville,NC,35.882637,-80.081988,518,"Greensboro-High Point-Winston Salem, NC",46,Regional Mexican,786,571,214,214,429,143,1100,0
WYMY-FM,101.1,Burlington,NC,36.095692,-79.437799,518,"Greensboro-High Point-Winston Salem, NC",46,Regional Mexican,214,143,71,0,214,0,300,0
WSMX-AM,1500,Winston-Salem,NC,36.09986,-80.244216,518,"Greensboro-High Point-Winston Salem, NC",46,Regional Mexican,229,57,171,29,0,200,0,800
WBLO-AM,790,Thomasville,NC,35.882637,-80.081988,518,"Greensboro-High Point-Winston Salem, NC",46,Spanish Oldies,743,386,357,29,486,229,200,2100
WWBG-AM,1470,Greensboro,NC,36.072635,-79.791975,518,"Greensboro-High Point-Winston Salem, NC",46,Regional Mexican,0,0,0,0,0,0,0,0
WSGH-AM,1040,Lewisville,NC,36.097082,-80.419222,518,"Greensboro-High Point-Winston Salem, NC",46,Spanish Contemporary Christian,0,0,0,0,0,0,0,0
WKKB-FM,100.3,Middletown,RI,41.521824,-71.283454,521,"Providence-New Bedford, RI-MA",53,Tropical,786,286,500,429,286,71,1100,0
WRNI-AM,1290,Providence,RI,41.823989,-71.412834,521,"Providence-New Bedford, RI-MA",53,Spanish News-Talk,514,257,257,86,57,371,400,800
