geography_type,geography_id,geography_desc,total_population,total_households,percent_hispanic,hispanic_population,,
COUNTY,01001,Autauga,57891,23119,0.0166,961,,001001
COUNTY,01003,Baldwin,198608,110722,0.0377,7488,,001003
COUNTY,01005,Barbour,26792,11887,0.0595,1594,,001005
COUNTY,01007,Bibb,23451,9182,0.014,328,,001007
COUNTY,01009,Blount,59239,24849,0.0715,4236,,001009
COUNTY,01011,Bullock,10641,4535,0.0777,827,,001011
COUNTY,01013,Butler,20656,10056,0.0043,89,,001013
COUNTY,01015,Calhoun,120383,54510,0.0251,3022,,001015
COUNTY,01017,Chambers,33074,16794,0.0075,248,,001017
COUNTY,01019,Cherokee,26352,16301,0.0049,129,,001019
COUNTY,01021,Chilton,44740,19890,0.0741,3315,,001021
COUNTY,01023,Choctaw,13055,7004,0.0009,12,,001023
COUNTY,01025,Clarke,24872,12379,0.0044,109,,001025
COUNTY,01027,Clay,13698,6821,0.0168,230,,001027
COUNTY,01029,Cleburne,15192,6915,0.0075,114,,001029
COUNTY,01031,Coffee,52075,24118,0.0606,3156,,001031
COUNTY,01033,Colbert,53996,26254,0.0128,691,,001033
COUNTY,01035,Conecuh,12811,7072,0.0072,92,,001035
COUNTY,01037,Coosa,11202,6446,0.0135,151,,001037
COUNTY,01039,Covington,37576,19204,0.0035,132,,001039
COUNTY,01041,Crenshaw,13837,6706,0.0023,32,,001041
COUNTY,01043,Cullman,81278,38335,0.0349,2837,,001043
COUNTY,01045,Dale,50764,22982,0.0473,2401,,001045
COUNTY,01047,Dallas,42846,20340,0.0066,283,,001047
COUNTY,01049,DeKalb,72805,32015,0.1347,9807,,001049
COUNTY,01051,Elmore,83460,34269,0.0216,1803,,001051
COUNTY,01053,Escambia,37845,16400,0.0137,518,,001053
COUNTY,01055,Etowah,104133,47800,0.0254,2645,,001055
COUNTY,01057,Fayette,16707,8469,0.0074,124,,001057
COUNTY,01059,Franklin,31825,14552,0.1594,5073,,001059
COUNTY,01061,Geneva,26607,12997,0.0201,535,,001061
COUNTY,01063,Greene,8631,4883,0.0055,47,,001063
COUNTY,01065,Hale,15184,7536,0.0039,59,,001065
COUNTY,01067,Henry,17381,8954,0.0148,257,,001067
COUNTY,01069,Houston,105808,48129,0.0246,2603,,001069
COUNTY,01071,Jackson,52237,24650,0.017,888,,001071
COUNTY,01073,Jefferson,654489,303878,0.04,26180,,001073
COUNTY,01075,Lamar,13979,7232,0.0055,77,,001075
COUNTY,01077,Lauderdale,93891,45022,0.0141,1324,,001077
COUNTY,01079,Lawrence,33968,15376,0.0082,279,,001079
COUNTY,01081,Lee,148724,67208,0.031,4610,,001081
COUNTY,01083,Limestone,88864,38575,0.0495,4399,,001083
COUNTY,01085,Lowndes,10558,5032,0.0048,51,,001085
COUNTY,01087,Macon,20511,10196,0.0124,254,,001087
COUNTY,01089,Madison,353956,156687,0.0428,15149,,001089
COUNTY,01091,Marengo,20302,10052,0.0069,140,,001091
COUNTY,01093,Marion,30366,14751,0.0097,295,,001093
COUNTY,01095,Marshall,96540,42587,0.1233,11903,,001095
COUNTY,01097,Mobile,419650,183959,0.0218,9148,,001097
COUNTY,01099,Monroe,22378,11051,0.0019,43,,001099
COUNTY,01101,Montgomery,231072,104395,0.0427,9867,,001101
COUNTY,01103,Morgan,121943,52986,0.0766,9341,,001103
COUNTY,01105,Perry,10103,4672,0.0109,110,,001105
COUNTY,01107,Pickens,19172,9325,0.0154,295,,001107
COUNTY,01109,Pike,33349,15615,0.0155,517,,001109
COUNTY,01111,Randolph,22905,12179,0.0239,547,,001111
COUNTY,01113,Russell,54232,26190,0.0399,2164,,001113
COUNTY,01115,St. Clair,90250,39335,0.0128,1155,,001115
COUNTY,01117,Shelby,212309,86871,0.0522,11083,,001117
COUNTY,01119,Sumter,13328,6717,0.004,53,,001119
COUNTY,01121,Talladega,82210,37090,0.0145,1192,,001121
COUNTY,01123,Tallapoosa,41446,22483,0.0196,812,,001123
