State,DMA,AffiliateName,channel,MetroMarket,latitude,longitude,number_of_listeners
AK,Anchorage,KROB-FM,1410,"Leesburg, VA",39.115662,-77.563601,156948
AL,"Birmingham (Ann, Tusc)",WZGX-AM,1450,"Pelham, AL",33.285669,-86.809989,382282
AL,Huntsville-Decatur-Florence,WYAM-AM,890,"Decatur, AL",34.605925,-86.983342,354088
AR,Ft. Smith-Fayettevll-Sprndl-Rgrs,KBHC-AM,1260,"De Queen, AR",34.037892,-94.341317,380864
AZ,Phoenix,KHOT-FM,105.9,"Phoenix, AZ",33.448377,-112.074037,347838
AZ,Phoenix,KQMR-FM,100.3,"Phoenix, AZ",33.448377,-112.074037,184455
AZ,Phoenix,KNAI-FM,88.3,"Bakerfield, CA",35.373292,-119.018712,97135
AZ,Phoenix,KLNZ-FM,103.5,"Phoenix, AZ",33.448377,-112.074037,7647
AZ,Phoenix,KSUN-AM,1400,"Phoenix, AZ",33.448377,-112.074037,224690
AZ,Phoenix,KHOV-FM,105.3,"Phoenix, AZ",33.448377,-112.074037,275192
AZ,Phoenix,KOMR-FM,106.3,"Phoenix, AZ",33.448377,-112.074037,41605
AZ,Phoenix,KVVA-FM,107.1,"Phoenix, AZ",33.448377,-112.074037,28502
AZ,Phoenix,KDVA-FM,106.9,"Phoenix, AZ",33.448377,-112.074037,172102
AZ,Phoenix,KZLZ-FM,105.3,"Tucson, AZ",32.221743,-110.926479,285576
AZ,Tucson (Nogales),KCEC-FM,104.5,"Yuma, AZ",32.692651,-114.627692,309403
AZ,Tucson (Nogales),KZLZ-FM,105.3,"Tucson, AZ",32.221743,-110.926479,129911
AZ,Tucson (Nogales),KNOG-FM,91.1,"Nogales, AZ",31.340378,-110.934253,42802
AZ,Tucson (Nogales),KRMB-FM,90.1,"Douglas, AZ",31.344547,-109.545345,157319
AZ,Tucson (Nogales),KRMC-FM,91.7,"Douglas, AZ",31.344547,-109.545345,312382
AZ,Tucson (Nogales),KWRB-FM,90.9,"Sierra Vista, AZ",31.5455,-110.277286,388087
AZ,Tucson (Nogales),KDAP-AM,1450,"Douglas, AZ",31.344547,-109.545345,343705
CA,Bakersfield,KIWI-FM,102.9,"Bakersfield, CA",35.373292,-119.018712,262599
CA,Bakersfield,KPSL-FM,92.1,"Bakersfield, CA",35.373292,-119.018712,192885
CA,Bakersfield,KMYX-FM,92.5,"Bakersfield, CA",35.373292,-119.018712,84518
CA,Bakersfield,KAFY-AM,1100,"Hughson, CA",37.602724,-120.866481,152231
CA,Bakersfield,KWAC-AM,1490,"Bakersfield, CA",35.373292,-119.018712,250146
CA,Bakersfield,KCHJ-AM,1010,"Bakersfield, CA",35.373292,-119.018712,98843
CA,Fresno-Visalia,KSKD-FM,95.9,"Hughson, CA",37.602724,-120.866481,322574
CA,Fresno-Visalia,KUFW-FM,90.5,"Visalia, CA",36.330228,-119.292058,327353
CA,Fresno-Visalia,KXOB-FM,107.1,"Fresno, CA",36.746842,-119.772587,70946
CA,Fresno-Visalia,KRDA-FM,107.5,"Fresno, CA",36.746842,-119.772587,53026
CA,Fresno-Visalia,KWRU-AM,1300,"Fresno, CA",36.746842,-119.772587,279276
CA,Fresno-Visalia,KLBN-FM,105.1,"Fresno, CA",36.746842,-119.772587,100267
CA,Fresno-Visalia,KNTO-FM,93.3,"Hughson, CA",37.602724,-120.866481,69996
CA,Fresno-Visalia,KGST-AM,1600,"Fresno, CA",36.746842,-119.772587,233676
CA,Fresno-Visalia,KHIT-FM,107.1,"Fresno, CA",36.746842,-119.772587,324661
CA,Fresno-Visalia,KLLE-FM,107.9,"Fresno, CA",36.746842,-119.772587,154118
CA,Fresno-Visalia,KOND-FM,92.1,"Fresno, CA",36.746842,-119.772587,146801
CA,Los Angeles,DESV-IN,100,"Los Angeles, CA",34.052234,-118.243685,193301
CA,Los Angeles,KXSB-FM,101.7,"Oxnard, CA",34.197505,-119.177052,127073
CA,Los Angeles,KXRS-FM,105.7,"Oxnard, CA",34.197505,-119.177052,275144
CA,Los Angeles,KXLM-FM,102.9,"Oxnard, CA",34.197505,-119.177052,30102
CA,Los Angeles,KDLD-FM,103.1,"Los Angeles, CA",34.052234,-118.243685,52086
CA,Los Angeles,KWKU-AM,1220,"Los Angeles, CA",34.052234,-118.243685,350418
CA,Los Angeles,KHPY-AM,1670,"Chatsworth, CA",34.250636,-118.61481,383110
CA,Los Angeles,KOXR-AM,910,"Oxnard, CA",34.197505,-119.177052,57523
CA,Los Angeles,KSSE-FM,107.1,"Los Angeles, CA",34.052234,-118.243685,263145
CA,Los Angeles,KSCA-FM,101.9,"Glendale, CA",34.142508,-118.255075,373760
CA,Los Angeles,KLVE-FM,107.5,"Glendale, CA",34.142508,-118.255075,262219
CA,Los Angeles,KLYY-FM,97.5,"Los Angeles, CA",34.052234,-118.243685,97936
CA,Los Angeles,KTNQ-AM,1020,"Glendale, CA",34.142508,-118.255075,382193
CA,Los Angeles,KRCV-FM,98.3,"Glendale, CA",34.142508,-118.255075,355078
CA,Los Angeles,KRCD-FM,103.9,"Glendale, CA",34.142508,-118.255075,183555
CA,Monterey-Salinas,KSEA-FM,107.9,"Salinas, CA",36.677737,-121.655501,336216
CA,Monterey-Salinas,KEXA-FM,93.9,"Salinas, CA",36.677737,-121.655501,312590
CA,Monterey-Salinas,KMJV-FM,106.3,"Salinas, CA",36.677737,-121.655501,281289
CA,Monterey-Salinas,KDBV-AM,980,"Salinas, CA",36.677737,-121.655501,16477
CA,Monterey-Salinas,KTGE-AM,1570,"Salinas, CA",36.677737,-121.655501,269201
CA,Sacramento-Stockton-Modesto,KBYN-FM,95.9,"Hughson, CA",37.602724,-120.866481,133450
CA,Sacramento-Stockton-Modesto,KFSG-AM,1690,"Sacramento, CA",38.581572,-121.4944,285635
CA,Sacramento-Stockton-Modesto,KCFA-FM,106.1,"Hughson, CA",37.602724,-120.866481,93431
CA,Sacramento-Stockton-Modesto,KBNL-FM,89.9,"Laredo, TX",27.506407,-99.507542,115721
CA,Sacramento-Stockton-Modesto,KLOC-AM,1390,"Hughson, CA",37.602724,-120.866481,140230
CA,Sacramento-Stockton-Modesto,KOBO-AM,1450,"Yuba City, CA",39.140448,-121.616911,196290
CA,San Diego,KLQV-FM,102.9,"San Diego, CA",32.715329,-117.157255,261582
CA,San Francisco-Oakland-San Jose,KRRS-AM,1460,"Santa Rosa, CA",38.440467,-122.714431,198110
CA,San Francisco-Oakland-San Jose,KBBF-FM,89.1,"Santa Rosa, CA",38.440467,-122.714431,254334
CA,San Francisco-Oakland-San Jose,Radio Excelencia Digital,100,"Santa Rosa, CA",38.440467,-122.714431,245702
CA,San Francisco-Oakland-San Jose,KATD-AM,990,"San Francisco, CA",37.77493,-122.419416,7365
CA,San Francisco-Oakland-San Jose,KIQI-AM,1010,"San Francisco, CA",37.77493,-122.419416,244642
CA,Santa Barbara-Snta Mria-Sn Lu Ob,KJDJ-AM,1030,"Santa Maria, CA",34.953034,-120.435719,381946
CA,Santa Barbara-Snta Mria-Sn Lu Ob,KTOB-AM,1490,"Santa Rosa, CA",38.440467,-122.714431,172633
CA,Yuma-El Centro,KSEH-FM,94.5,"El Centro, CA",32.792,-115.563051,354413
CA,Yuma-El Centro,KMMX-FM,99.3,"El Centro, CA",32.792,-115.563051,138577
CA,Yuma-El Centro,KUKY-FM,95.9,"San Luis, AZ",32.487,-114.78218,357682
CA,Yuma-El Centro,KYRM-FM,91.9,"Yuma, AZ",32.692651,-114.627692,144755
CA,Yuma-El Centro,KMXX-FM,99.3,"El Centro, CA",32.792,-115.563051,67809
CO,Colorado Springs-Pueblo,KXRE-AM,1490,"Denver, CO",39.737567,-104.984718,238138
CO,Denver,KJMN-FM,92.1,"Denver, CO",39.737567,-104.984718,26475
CO,Denver,KOTO-FM,91.7,"Telluride, CO",37.937494,-107.812285,263663
CO,Denver,KPVW-FM,107.1,"Basalt, CO",39.368873,-107.032824,64776
CO,Denver,KNVR-AM,1150,"Denver, CO",39.737567,-104.984718,394201
CO,Denver,KXPK-FM,96.5,"Denver, CO",39.737567,-104.984718,89342
CO,Denver,KDNK-FM,90.5,"Carbondale, CO",39.402205,-107.211163,92934
CO,Denver,KMXA-AM,1090,"Denver, CO",39.737567,-104.984718,234687
CO,Denver,KBJD-AM,1650,"Aurora, CO",39.729432,-104.83192,86643
CO,Denver,KBNO-AM,1280,"Denver, CO",39.737567,-104.984718,13932
CT,Hartford-New Haven,WPRX-AM,1120,"Berlin, CT",41.621488,-72.745652,339836
CT,Hartford-New Haven,WRYM-AM,840,"Newington, CT",41.6973,-72.722829,283031
DC,"Washington, DC",KROB-FM,1410,"Leesburg, VA",39.115662,-77.563601,174048
DC,"Washington, DC",WLXE-AM,1600,"Silver Spring, MD",38.990666,-77.026088,399141
DC,"Washington, DC",WKDV-AM,1460,"Manassas, VA",38.750949,-77.475267,219809
DC,"Washington, DC",WWGB-AM,1030,"Oxon Hill, MD",38.803447,-76.989697,47257
DC,"Washington, DC",WILC-AM,900,"Laurel, MD",39.099275,-76.848306,139888
DC,"Washington, DC",WDCN-LP,87.7,"Oxon Hill, MD",38.803447,-76.989697,212823
DC,"Washington, DC",WURA-AM,920,"Woodbridge, VA",38.658172,-77.249705,72459
FL,Ft. Myers-Naples,WAFZ-FM,92.1,"Clewiston, FL",26.754231,-80.933675,212869
FL,Ft. Myers-Naples,WAFZ-AM,1490,"Clewiston, FL",26.754231,-80.933675,357561
FL,"Jacksonville, FL",WEWC-AM,1160,"Jacksonville, FL",30.332184,-81.655651,202943
FL,"Jacksonville, FL",WNNR-AM,970,"Charlotte, NC",35.227087,-80.843127,6438
FL,"Jacksonville, FL",WVOJ-AM,1570,"Jacksonville, FL",30.332184,-81.655651,377564
FL,Miami-Ft. Lauderdale,WSUA-AM,1260,"Miami, FL",25.788969,-80.226439,67468
FL,Miami-Ft. Lauderdale,WQBA-AM,1140,"Coral Gables, FL",25.72149,-80.268384,76935
FL,Miami-Ft. Lauderdale,NWXAM1000 LLP,100,"Miami, FL",25.788969,-80.226439,222162
FL,Miami-Ft. Lauderdale,WOIR-AM,1430,"Miami, FL",25.788969,-80.226439,52835
FL,Miami-Ft. Lauderdale,WAQI-AM,710,"Coral Gables, FL",25.72149,-80.268384,238556
FL,Orlando-Daytona Beach-Melbourne,WUNA-AM,1480,"Orlando, FL",28.538336,-81.379236,87629
FL,Orlando-Daytona Beach-Melbourne,WONQ-AM,1030,"Altamonte Springs, FL",28.661109,-81.365624,111989
FL,Orlando-Daytona Beach-Melbourne,WLAA-AM,1680,"Ocoee, FL",28.569168,-81.543962,74579
FL,Tampa-St. Petersburg-Sarasota,WQXM-AM,1460,"Bartow, FL",27.896415,-81.843137,386613
FL,Tampa-St. Petersburg-Sarasota,WTWB-AM,1570,"Lake Wales, FL",27.901413,-81.58591,195160
FL,West Palm Beach-Ft. Pierce,WAQI-AM,710,"Coral Gables, FL",25.72149,-80.268384,104019
FL,West Palm Beach-Ft. Pierce,WWRF-AM,1380,"Clewiston, FL",26.754231,-80.933675,14114
FL,West Palm Beach-Ft. Pierce,WPSP-AM,1190,"West Palm Beach, FL",26.715342,-80.053375,147004
FL,West Palm Beach-Ft. Pierce,WAFC-AM,1490,"Clewiston, FL",26.754231,-80.933675,366443
GA,Atlanta,WLBA-AM,1130,"Austell, GA",33.812606,-84.634378,28698
GA,Atlanta,WXEM-AM,1460,"Bufford, GA",34.120656,-84.004351,334146
GA,Atlanta,WFTD-AM,1080,"Atlanta, GA",33.748995,-84.387982,58288
GA,Atlanta,WDAL-AM,1430,"Dalton, GA",34.769802,-84.970223,194946
GA,Atlanta,WAOS-AM,1600,"Austell, GA",33.812606,-84.634378,160306
GA,Macon,WAFT-FM,101.1,"Valdosta, GA",30.832702,-83.278485,344748
GA,Savannah,WVOJ-AM,1570,"Jacksonville, FL",30.332184,-81.655651,124389
IA,Davenport-Rock Island-Moline,WDLM-AM,960,"East Moline, IL",41.500867,-90.444298,115742
IA,Des Moines-Ames,KDLF-AM,1260,"Des Moines, IA",41.600545,-93.609106,19692
ID,Boise,KYWN-AM,890,"Caldwell, ID",43.662938,-116.68736,154808
ID,Boise,KQTA-FM,106.3,"Nampa, ID",43.540717,-116.563462,271830
ID,Boise,KDBI-FM,101.9,"Nampa, ID",43.540717,-116.563462,340297
ID,Twin Falls,KFTA-AM,970,"Rupert, ID",42.619076,-113.677235,326056
IL,Champaign & Springfield-Decatur,WKJR-AM,1460,"Rantoul, IL",40.308367,-88.155878,317029
IL,Chicago,WRTO-AM,1200,"Chicago, IL",41.878114,-87.629798,68704
IL,Chicago,WPPN-FM,106.7,"Chicago, IL",41.878114,-87.629798,78867
IL,Chicago,WVIV-FM,103.1,"Chicago, IL",41.878114,-87.629798,329544
IL,Chicago,WRTE-FM,90.5,"Chicago, IL",41.878114,-87.629798,365078
IL,Chicago,WMBI-AM,1110,"Chicago, IL",41.878114,-87.629798,5222
IL,Chicago,WDCB-FM HD2,90.9,"Chicago, IL",41.878114,-87.629798,71367
IL,Chicago,WOJO-FM,105.1,"Chicago, IL",41.878114,-87.629798,349422
IN,Indianapolis,WEDJ-FM,107.1,"Indianapolis, IN",39.768403,-86.158068,177687
IN,Indianapolis,WSYW-AM,810,"Indianapolis, IN",39.768403,-86.158068,393176
IN,"Lafayette, IN",WGBJ-FM,102.3,"Fort Wayne, IN",41.079273,-85.139351,33585
IN,"Lafayette, IN",WSYW-AM,810,"Indianapolis, IN",39.768403,-86.158068,63524
KS,Wichita-Hutchinson Plus,KZQD-FM,105.1,"Liberal, KS",37.043081,-100.920999,381271
KS,Wichita-Hutchinson Plus,KSMM-FM,101.5 y 92.9,"Liberal, KS",37.043081,-100.920999,390859
LA,New Orleans,KGLA-AM,1540,"Metairie, LA",29.984092,-90.152852,84236
MA,Springfield-Holyoke,WSPR-AM,1270,"West Springfield, MA",42.107038,-72.620367,13108
MA,Springfield-Holyoke,WXOJ-FM,103.3,"Florence, MA",42.335556,-72.671667,8146
MD,Salisbury,WYUS-AM,930,"Milford, DE",38.912613,-75.427975,305359
